,City,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Year
1008,"Tel Aviv-Yafo, Israel",153.09,86.31,68.99,72.6,78.46,20.43,37.74,43.66,93.88,2019
1009,"Tel Aviv-Yafo, Israel",150.17,90.0,68.67,75.63,80.11,18.28,40.19,52.95,78.56,2017
1010,"The Hague (Den Haag), Netherlands",181.01,93.16,70.58,78.68,76.41,7.32,42.0,25.89,90.61,2019
1011,"Thessaloniki, Greece",96.01,43.27,67.57,69.41,83.97,11.66,20.5,47.28,-,2014
1012,"Thessaloniki, Greece",135.18,48.72,65.83,61.27,64.94,9.52,24.26,64.57,88.39,2018
1013,"Thessaloniki, Greece",131.87,47.68,65.05,56.19,56.49,10.74,26.19,63.27,88.39,2019
1014,"Thessaloniki, Greece",150.11,50.44,66.11,67.22,55.88,9.11,24.56,62.96,89.07,2017
1015,"Thessaloniki, Greece",176.15,82.69,68.85,75.81,52.04,6.15,22.83,57.92,89.81,2016
1016,"Thessaloniki, Greece",70.83,44.58,58.36,61.94,87.4,11.79,20.5,62.19,-,2013
1017,"Thessaloniki, Greece",119.46,50.93,67.75,77.07,66.62,9.98,17.0,44.02,-,2015
1018,"Thessaloniki, Greece",26.77,39.04,50.52,53.97,105.78,11.24,22.5,87.25,-,2012
1019,"Timisoara, Romania",166.14,67.5,76.8,58.79,33.16,10.68,16.88,51.93,75.2,2016
1020,"Timisoara, Romania",151.54,49.71,76.82,63.04,35.38,11.96,21.0,58.68,73.37,2017
1021,"Timisoara, Romania",146.23,59.09,76.66,65.99,41.62,10.27,25.13,62.96,80.5,2018
1022,"Timisoara, Romania",144.87,53.69,74.82,64.19,37.26,11.4,25.73,58.57,82.05,2019
1023,"Tokyo, Japan",168.07,106.42,83.14,79.03,93.81,13.78,43.64,46.87,85.64,2018
1024,"Tokyo, Japan",165.99,113.5,79.7,77.73,85.09,25.97,48.52,34.86,80.29,2016
1025,"Tokyo, Japan",171.18,102.66,83.49,80.65,88.45,13.39,40.61,44.65,85.26,2019
1026,"Tokyo, Japan",170.5,96.79,76.99,85.03,85.41,8.66,44.15,35.07,-,2015
1027,"Tokyo, Japan",147.86,86.15,86.09,71.53,124.0,10.66,50.3,32.35,-,2013
1028,"Tokyo, Japan",159.93,93.46,80.47,78.7,104.2,7.89,47.64,37.8,-,2014
1029,"Tokyo, Japan",136.19,92.5,93.94,95.37,140.78,17.77,46.5,52.5,-,2012
1030,"Tokyo, Japan",136.41,98.6,80.36,75.51,90.97,19.88,44.19,43.8,31.91,2017
1031,"Toronto, Canada",161.15,103.5,68.34,70.55,81.74,9.04,42.85,38.02,-,2015
1032,"Toronto, Canada",151.16,87.38,64.37,74.84,80.68,13.07,42.53,37.94,65.35,2019
1033,"Toronto, Canada",171.72,115.94,65.06,72.59,70.3,8.5,42.37,41.48,70.35,2017
1034,"Toronto, Canada",171.06,97.76,72.6,66.11,99.5,7.92,35.14,25.9,-,2013
1035,"Toronto, Canada",177.69,138.99,66.39,68.98,65.86,9.78,43.73,44.56,71.65,2016
1036,"Toronto, Canada",162.56,106.83,64.6,74.34,75.22,10.66,42.59,37.73,67.25,2018
1037,"Toronto, Canada",159.07,105.78,68.23,70.56,106.58,7.65,38.09,42.5,-,2012
1038,"Toronto, Canada",171.6,101.75,71.34,70.87,89.22,7.96,40.11,30.27,-,2014
1039,"Trieste, Italy",169.48,86.19,82.26,73.46,85.24,5.47,20.0,42.15,-,2015
1040,"Trondheim, Norway",187.7,95.2,78.19,81.71,181.02,6.27,19.25,13.62,-,2012
1041,"Trondheim, Norway",188.01,93.89,80.2,81.67,174.38,6.74,20.67,13.19,-,2013
1042,"Trondheim, Norway",192.96,92.49,80.2,84.81,152.89,6.88,19.14,13.19,-,2014
1043,"Trondheim, Norway",199.33,113.74,79.81,81.36,108.05,7.92,18.89,11.01,55.41,2016
1044,"Trondheim, Norway",192.19,93.45,81.69,86.24,119.93,7.65,19.14,21.8,-,2015
1045,"Tucson, AZ, United States",175.03,115.99,48.47,59.18,67.99,2.62,32.16,27.0,72.66,2019
1046,"Tucson, AZ, United States",186.0,138.07,47.38,59.27,63.0,2.34,33.13,23.45,72.66,2018
1047,"Turin, Italy",129.74,79.05,42.69,67.22,68.64,9.02,30.31,71.44,85.66,2019
1048,"Turin, Italy",140.48,99.57,40.46,68.55,68.12,12.32,27.7,78.78,90.63,2016
1049,"Turin, Italy",64.53,73.02,36.02,67.59,80.51,11.71,32.5,78.53,-,2015
1050,"Turin, Italy",133.75,80.05,45.04,66.53,65.01,10.42,29.0,75.74,82.03,2017
1051,"Turin, Italy",133.55,85.62,43.69,69.89,74.94,8.32,27.44,74.49,86.08,2018
1052,"Ulaanbaatar, Mongolia",13.5,28.04,53.13,43.06,63.07,13.0,26.67,88.97,-,2013
1053,"Ulaanbaatar, Mongolia",-39.46,23.41,29.75,27.23,52.57,19.07,36.86,96.71,-,2015
1054,"Ulaanbaatar, Mongolia",-27.1,25.38,33.77,27.23,58.05,15.7,36.86,94.98,-,2014
1055,"Valencia, Spain",160.6,80.57,73.24,80.0,65.44,9.35,23.0,36.61,-,2015
1056,"Valencia, Spain",178.01,86.91,69.84,82.1,54.06,7.66,27.1,43.76,93.84,2019
1057,"Valencia, Spain",172.7,90.71,57.85,83.44,60.33,7.07,32.0,42.37,94.37,2018
1058,"Vancouver, Canada",169.41,96.77,64.04,72.73,75.59,16.02,41.25,25.02,91.43,2018
1059,"Vancouver, Canada",177.37,91.28,64.19,73.31,72.7,13.12,43.32,25.53,91.56,2017
1060,"Vancouver, Canada",193.63,121.65,61.11,70.36,65.01,11.32,40.0,22.6,91.32,2016
1061,"Vancouver, Canada",159.16,91.55,64.68,81.09,98.11,9.93,40.75,26.58,-,2014
1062,"Vancouver, Canada",155.68,84.2,69.97,83.73,103.68,11.18,39.38,25.08,-,2013
1063,"Vancouver, Canada",171.25,91.45,63.71,73.76,67.88,16.18,37.32,23.17,91.15,2019
1064,"Vancouver, Canada",166.34,94.7,63.37,75.19,90.19,9.61,41.25,20.6,-,2015
1065,"Vancouver, Canada",133.65,95.55,61.65,84.72,110.81,10.42,40.0,52.5,-,2012
1066,"Varna, Bulgaria",137.25,48.85,68.24,60.89,38.52,8.96,30.28,61.76,85.08,2019
1067,"Victoria, Canada",202.78,118.14,65.63,67.9,73.78,5.38,27.3,12.5,75.35,2017
1068,"Victoria, Canada",208.65,131.38,63.5,72.9,68.57,5.65,30.2,13.44,77.22,2016
1069,"Victoria, Canada",197.09,112.52,67.08,68.18,75.47,6.54,32.07,14.17,92.52,2018
1070,"Victoria, Canada",194.79,99.83,68.01,72.13,67.22,7.74,27.05,16.28,92.52,2019
1071,"Victoria, Canada",185.14,102.08,56.84,72.02,84.89,6.33,31.75,15.06,-,2015
1072,"Victoria, Canada",182.6,97.24,57.55,79.63,93.07,6.42,31.67,15.34,-,2013
1073,"Vienna, Austria",188.6,98.88,77.38,77.96,78.64,14.08,26.03,18.97,80.35,2018
1074,"Vienna, Austria",195.97,119.81,71.96,78.8,65.87,16.72,26.28,21.17,75.37,2016
1075,"Vienna, Austria",169.65,94.09,70.09,77.78,90.16,12.51,25.33,25.18,-,2014
1076,"Vienna, Austria",195.78,98.5,78.19,81.05,68.59,13.68,25.55,18.97,75.37,2017
1077,"Vienna, Austria",193.07,98.23,77.45,79.05,69.12,12.73,24.76,16.99,80.35,2019
1078,"Vienna, Austria",178.28,100.22,69.48,80.79,77.02,13.3,24.86,25.02,-,2015
1079,"Vilnius, Lithuania",136.71,54.06,67.56,69.6,47.24,15.33,29.76,25.8,20.64,2017
1080,"Vilnius, Lithuania",153.47,56.97,69.1,68.27,54.26,14.5,28.63,28.34,65.88,2018
1081,"Vilnius, Lithuania",158.85,60.43,70.82,66.75,48.26,13.24,28.37,26.05,66.59,2019
1082,"Vilnius, Lithuania",130.05,43.84,70.83,72.99,61.2,13.61,25.71,16.08,-,2014
1083,"Vilnius, Lithuania",141.38,62.2,62.03,69.22,46.75,13.16,29.89,25.44,24.42,2016
1084,"Vilnius, Lithuania",120.33,46.95,70.82,70.19,53.85,13.41,31.33,26.57,-,2015
1085,"Vilnius, Lithuania",132.57,44.67,72.07,77.31,61.81,13.74,33.5,13.22,-,2013
1086,"Warsaw, Poland",111.19,71.15,69.25,58.25,48.04,11.49,36.61,55.14,-,2015
1087,"Warsaw, Poland",144.58,73.97,73.41,62.64,42.64,12.14,36.31,55.62,74.61,2019
1088,"Warsaw, Poland",143.52,77.31,66.55,61.35,48.31,11.38,38.37,51.92,74.39,2018
1089,"Warsaw, Poland",94.04,63.5,65.56,55.16,58.61,12.47,37.5,55.79,-,2014
1090,"Warsaw, Poland",95.46,64.39,67.97,63.33,59.17,12.67,43.29,57.75,-,2013
1091,"Warsaw, Poland",153.06,85.41,73.67,61.57,40.75,12.37,36.6,53.16,63.39,2016
1092,"Warsaw, Poland",151.61,74.32,73.85,60.84,40.79,11.81,38.59,46.94,62.36,2017
1093,"Warsaw, Poland",51.96,62.54,60.57,49.19,57.41,14.25,46.25,82.5,-,2012
1094,"Washington, DC, United States",166.58,126.08,42.72,71.58,91.99,4.85,41.63,39.26,81.62,2019
1095,"Washington, DC, United States",163.31,120.62,42.5,70.41,91.94,5.44,43.88,38.22,83.11,2018
1096,"Wellington, New Zealand",194.66,99.06,70.34,67.86,100.09,4.71,28.33,12.47,-,2015
1097,"Wellington, New Zealand",213.66,120.31,70.15,69.53,77.3,5.81,25.07,11.15,87.79,2017
1098,"Wellington, New Zealand",209.58,118.04,68.86,66.01,80.16,6.09,26.5,10.69,88.06,2016
1099,"Wellington, New Zealand",185.75,91.81,69.22,73.52,104.28,5.31,27.5,14.52,-,2014
1100,"Wellington, New Zealand",201.96,107.79,71.02,72.85,72.36,7.32,27.33,15.21,97.68,2019
1101,"Wellington, New Zealand",208.39,118.59,70.08,71.42,80.87,5.87,26.63,11.86,97.6,2018
1102,"Winnipeg, Canada",147.68,107.75,44.61,68.47,60.44,4.91,32.36,39.3,24.67,2019
1103,"Winnipeg, Canada",146.65,114.61,45.7,67.12,71.22,3.95,33.35,44.73,26.04,2018
1104,"Winnipeg, Canada",149.41,93.8,43.04,66.9,75.65,6.18,34.83,30.21,-,2015
1105,"Winnipeg, Canada",137.94,87.99,48.37,66.41,70.21,5.21,32.15,40.3,28.37,2017
1106,"Winnipeg, Canada",163.15,133.14,48.52,71.01,63.64,4.38,29.38,36.66,26.94,2016
1107,"Wroclaw, Poland",93.13,56.11,65.42,57.6,54.42,10.99,35.86,55.06,-,2014
1108,"Wroclaw, Poland",141.97,80.07,65.89,56.67,38.76,10.16,44.71,56.57,64.61,2016
1109,"Wroclaw, Poland",90.73,51.22,65.62,56.02,57.45,13.5,33.4,47.53,-,2013
1110,"Wroclaw, Poland",137.75,74.19,58.75,57.83,46.27,9.16,35.13,58.63,78.03,2018
1111,"Wroclaw, Poland",141.01,67.54,70.04,61.85,41.02,10.2,33.2,61.49,78.39,2019
1112,"Wroclaw, Poland",105.35,63.64,66.84,57.3,44.14,10.07,42.62,51.8,-,2015
1113,"Wroclaw, Poland",135.25,69.21,64.36,56.19,38.37,9.73,41.41,60.26,62.41,2017
1114,"Yekaterinburg, Russia",77.86,50.08,48.8,65.17,38.75,11.74,33.33,78.02,-8.93,2017
1115,"Yekaterinburg, Russia",96.75,48.0,51.57,62.74,34.33,11.19,33.24,73.8,21.33,2019
1116,"Yekaterinburg, Russia",95.25,52.61,50.05,68.63,42.05,10.47,38.12,77.39,21.17,2018
1117,"Yerevan, Armenia",117.0,32.52,70.12,49.54,34.12,14.52,28.96,59.27,63.11,2018
1118,"Yerevan, Armenia",50.77,28.13,68.52,48.33,41.39,13.01,26.09,70.57,-,2015
1119,"Yerevan, Armenia",124.18,33.28,70.82,51.67,34.6,14.67,28.89,60.15,61.87,2017
1120,"Yerevan, Armenia",122.13,33.68,77.63,47.89,32.63,14.98,27.88,57.42,63.42,2019
1121,"Zagreb, Croatia",159.94,70.89,68.53,63.75,48.97,12.26,33.7,37.61,71.58,2016
1122,"Zagreb, Croatia",82.77,48.69,67.71,52.78,72.55,16.0,35.33,43.92,-,2013
1123,"Zagreb, Croatia",158.15,64.19,73.99,65.48,58.0,11.47,33.46,35.85,81.58,2018
1124,"Zagreb, Croatia",164.21,67.14,71.39,68.05,48.57,11.12,31.34,36.35,70.35,2017
1125,"Zagreb, Croatia",112.07,53.94,67.43,63.72,60.33,12.24,30.0,37.76,-,2015
1126,"Zagreb, Croatia",162.04,64.64,75.68,65.5,51.12,11.49,33.75,32.48,81.82,2019
1127,"Zagreb, Croatia",102.87,49.88,67.39,62.5,71.35,13.84,33.86,34.93,-,2014
1128,"Zurich, Switzerland",204.42,139.94,81.73,75.0,126.87,9.46,33.63,15.94,81.48,2019
1129,"Zurich, Switzerland",202.37,142.7,80.99,74.74,141.25,9.87,35.59,16.05,82.16,2018
1130,"Zurich, Switzerland",233.72,145.55,84.65,78.33,159.91,7.94,25.75,18.76,-,2013
1131,"Zurich, Switzerland",218.48,133.91,80.34,71.35,141.06,8.07,26.44,18.79,-,2015
1132,"Zurich, Switzerland",213.07,184.86,80.25,70.78,130.99,10.56,31.12,12.42,62.58,2016
1133,"Zurich, Switzerland",213.18,136.31,83.85,77.78,166.07,8.27,27.33,26.5,-,2012
1134,"Zurich, Switzerland",192.05,134.5,81.86,73.64,130.04,10.39,33.77,14.06,61.05,2017
1135,"Zurich, Switzerland",208.21,124.64,78.9,75.61,157.47,8.69,24.8,17.14,-,2014
