,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,real_city
73,5,6,7,9,10,12,12,11,10,8,7,5,"Limassol, Cyprus"
117,5,7,7,8,9,10,11,10,8,6,5,4,"Lisbon, Portugal"
142,3,5,6,6,7,9,10,9,7,5,4,3,"Ljubljana, Slovenia"
92,1,2,4,5,6,7,6,6,5,3,2,1,"London, United Kingdom"
99,1,2,5,6,6,6,6,6,5,3,1,1,"Luxembourg, Luxembourg"
145,2,3,5,6,7,8,8,7,6,6,2,2,"Lviv, Ukraine"
79,7,8,7,10,10,12,11,10,9,8,8,6,"Madison, WI, United States"
4,4,5,6,7,8,10,11,11,9,6,5,4,"Madrid, Spain"
22,1,2,3,5,5,5,5,5,4,3,1,1,"Manchester, United Kingdom"
65,5,7,8,9,8,7,7,7,6,6,6,6,"Manila, Philippines"
125,11,9,8,7,5,5,5,5,7,8,9,10,"Melbourne, Australia"
147,8,8,8,8,7,7,6,6,5,6,9,8,"Mexico City, Mexico"
71,6,6,7,9,10,12,12,11,9,8,7,6,"Miami, FL, United States"
13,3,5,6,6,7,8,10,9,7,4,3,3,"Milan, Italy"
98,1,1,3,8,9,10,10,10,7,4,2,1,"Minsk, Belarus"
11,1,2,4,6,8,9,9,7,5,2,1,1,"Moscow, Russia"
29,9,10,9,10,10,5,2,3,5,8,9,9,"Mumbai, India"
62,2,3,5,6,7,8,8,7,6,4,2,2,"Munich, Germany"
114,9,11,11,11,13,13,12,12,12,11,11,10,"Muscat, Oman"
122,8,9,8,5,5,6,7,7,8,7,6,7,"Nairobi, Kenya"
6,6,6,7,8,9,11,11,10,9,7,6,6,"New York, NY, United States"
51,5,7,7,9,11,13,13,12,11,9,7,5,"Nicosia, Cyprus"
96,2,3,5,6,7,9,10,9,8,5,3,2,"Novi Sad, Serbia"
110,2,3,5,7,9,10,11,10,8,6,2,2,"Odessa, Ukraine"
23,7,7,8,10,10,11,10,9,9,8,8,7,"Orlando, FL, United States"
67,1,3,5,6,7,8,7,6,4,3,1,1,"Oslo, Norway"
119,1,2,2,5,6,6,8,8,8,5,2,2,"Paris, France"
94,5,6,7,8,8,10,10,8,8,7,5,5,"Philadelphia, PA, United States"
14,4,6,7,7,8,10,10,9,7,6,4,3,"Porto, Portugal"
141,9,10,9,9,9,9,9,11,11,10,11,11,"Pretoria, South Africa"
2,3,3,5,7,9,9,10,9,7,6,5,2,"Quebec City, Canada"
72,3,3,3,3,4,7,7,8,7,3,2,2,"Quito, Ecuador"
1,3,2,3,7,9,10,12,11,9,6,5,2,"Regina, Canada"
43,1,2,4,5,6,6,6,5,4,2,1,0,"Reykjavik, Iceland"
57,7,7,7,6,6,6,6,7,5,5,6,6,"Rio de Janeiro, Brazil"
82,7,8,7,8,9,11,11,10,9,10,9,7,"Riyadh, Saudi Arabia"
24,4,5,7,7,9,9,11,10,8,6,4,3,"Rome, Italy"
46,1,3,3,5,7,6,6,6,4,3,2,1,"Rotterdam, Netherlands"
148,4,6,8,9,10,12,12,11,10,8,5,4,"Salt Lake City, UT, United States"
34,7,8,8,8,8,8,10,9,9,8,8,8,"San Diego, CA, United States"
144,7,7,7,7,7,7,6,6,6,6,6,6,"San Jose, Costa Rica"
139,11,10,9,7,4,4,4,5,6,7,9,10,"Santiago, Chile"
52,5,6,5,4,5,6,6,6,5,5,5,5,"Sao Paulo, Brazil"
91,2,4,5,7,8,9,10,9,7,5,2,2,"Seattle, WA, United States"
88,5,5,6,7,7,6,4,5,6,7,5,5,"Seoul, South Korea"
84,4,4,5,5,6,6,7,8,6,5,5,5,"Shanghai, China"
134,6,8,7,8,9,8,8,9,9,8,6,6,"Singapore, Singapore"
70,2,3,4,6,7,9,10,9,7,5,3,2,"Sofia, Bulgaria"
64,2,3,4,8,10,12,11,9,7,5,2,2,"Stockholm, Sweden"
85,2,3,4,6,7,7,8,7,6,3,2,1,"Stuttgart, Germany"
39,9,8,8,8,7,7,7,9,9,9,9,9,"Sydney, Australia"
19,7,8,9,10,11,11,10,9,9,9,8,7,"Tampa, FL, United States"
28,6,6,8,9,11,12,13,11,9,7,7,7,"Tbilisi, Georgia"
66,4,5,5,8,9,10,12,11,8,6,4,4,"Thessaloniki, Greece"
16,6,6,6,5,6,4,5,6,4,4,5,6,"Tokyo, Japan"
127,3,3,6,8,9,10,11,10,9,6,5,3,"Toronto, Canada"
137,3,4,6,7,8,9,9,9,6,5,3,3,"Trieste, Italy"
140,3,5,6,6,7,8,10,9,7,4,3,3,"Turin, Italy"
81,6,6,7,8,9,10,11,10,9,8,6,6,"Valencia, Spain"
59,4,5,6,8,9,10,13,11,8,6,4,4,"Vancouver, Canada"
75,2,3,4,6,8,9,11,10,8,6,3,2,"Varna, Bulgaria"
78,2,3,4,6,8,8,9,8,7,4,2,1,"Vienna, Austria"
30,3,3,4,9,12,12,11,11,9,7,4,2,"Vilnius, Lithuania"
120,2,2,4,5,8,8,7,7,5,4,2,1,"Warsaw, Poland"
6,6,6,7,8,9,11,11,10,9,8,6,6,"Washington, DC, United States"
15,5,6,6,8,9,10,10,11,12,11,8,6,"Wellington, New Zealand"
54,3,3,3,7,9,10,11,10,8,6,4,2,"Winnipeg, Canada"
95,1,2,4,5,7,8,7,7,6,4,2,1,"Wroclaw, Poland"
4,2,3,5,7,8,9,9,7,4,2,2,1,"Yekaterinburg, Russia"
121,7,7,9,10,12,13,13,12,11,10,8,7,"Yerevan, Armenia"
49,2,3,4,6,7,8,9,9,7,4,2,1,"Zagreb, Croatia"
8,2,3,4,5,6,6,7,7,5,3,2,1,"Zurich, Switzerland"
