,Safety Index,Health Care Index,Cost of Living Index,Pollution Index,Year,City
0,86.83559950556241,48.51783840503674,74.98118414450576,65.4567847569369,2016,"Abu Dhabi, United Arab Emirates"
1,88.31891223733003,50.68205666316895,72.16507777220271,65.9276968774904,2017,"Abu Dhabi, United Arab Emirates"
2,90.64276885043263,55.495802728226664,72.78600100351228,68.29674708396726,2018,"Abu Dhabi, United Arab Emirates"
3,93.93077873918416,64.29695697796433,74.24736578023081,70.98456857204954,2019,"Abu Dhabi, United Arab Emirates"
4,91.23609394313966,37.11962224554041,74.47315604616156,57.74107078171412,2015,"Abu Dhabi, United Arab Emirates"
5,65.14215080346105,69.18940188877231,59.58354239839437,90.0963558646671,2018,"Adelaide, Australia"
6,67.73794808405438,71.45855194123821,71.2180130456598,91.16134173730349,2019,"Adelaide, Australia"
7,57.552533992583434,61.4900314795383,64.68263923733065,86.53191335216982,2016,"Adelaide, Australia"
8,55.62422744128553,56.492654774396655,51.50526843953837,88.48800985293052,2015,"Adelaide, Australia"
9,56.41532756489492,47.91448058761806,37.6317109884596,96.25443744113599,2013,"Adelaide, Australia"
10,65.80964153275649,70.26495278069257,63.20245860511791,89.48779250887488,2017,"Adelaide, Australia"
11,56.007416563658836,54.2890870933893,48.85850476668338,86.5826269651525,2014,"Adelaide, Australia"
12,62.08899876390605,64.2444910807975,98.44455594581034,51.97420850539737,2019,"Ahmedabad, India"
13,57.44128553770085,62.48688352570829,95.55318615153035,52.24951097587481,2018,"Ahmedabad, India"
14,85.01854140914708,55.02360965372509,93.96638233818365,62.81967688183728,2013,"Ahmedabad, India"
15,80.28430160692211,62.18520461699896,96.36853988961364,54.4446859378396,2015,"Ahmedabad, India"
16,78.55377008652657,62.18520461699896,96.56297039638736,54.357748315583564,2014,"Ahmedabad, India"
17,71.95302843016069,66.73662119622246,97.25288509784244,53.01745997246975,2017,"Ahmedabad, India"
18,23.36217552533993,63.62801678908711,72.30933266432513,90.41512714627255,2018,"Albuquerque, NM, United States"
19,22.65760197775031,68.86149003147955,73.26894129453085,89.08208360501341,2019,"Albuquerque, NM, United States"
20,49.61681087762669,59.758656873032535,77.9101856497742,48.366297181772076,2015,"Almaty, Kazakhstan"
21,45.61186650185413,47.65215110178384,90.92448569994983,49.22842860247772,2018,"Almaty, Kazakhstan"
22,46.06922126081582,61.17523609653726,93.89739086803813,53.19133521698181,2016,"Almaty, Kazakhstan"
23,45.3522867737948,60.45383001049319,93.04440541896638,49.48924146924581,2017,"Almaty, Kazakhstan"
24,17.478368355995052,41.1594963273872,94.59984947315604,49.85148156197928,2019,"Almaty, Kazakhstan"
25,46.600741656365884,63.96904512067157,78.95760160561966,48.982105339418965,2016,"Amman, Jordan"
26,48.41779975278121,63.73294858342079,74.25363773206222,47.30855611099036,2015,"Amman, Jordan"
27,52.113720642768854,68.0351521511018,74.77420973406925,46.316018256900676,2017,"Amman, Jordan"
28,56.06922126081581,61.726128016789104,77.93527345709985,48.49670361515612,2019,"Amman, Jordan"
29,55.58714462299133,67.31374606505773,76.86276969392874,47.63457219445048,2018,"Amman, Jordan"
30,45.3522867737948,69.51731374606507,73.43828399397893,49.43128305440846,2014,"Amman, Jordan"
31,62.89245982694685,62.57869884575028,65.68615153035624,77.2223429689198,2016,"Amsterdam, Netherlands"
32,64.87021013597032,66.9202518363064,62.80732563973909,83.11961167862059,2019,"Amsterdam, Netherlands"
33,66.5265760197775,58.90608604407136,58.22252885097842,80.62739984061436,2015,"Amsterdam, Netherlands"
34,67.19406674907293,69.59601259181534,64.60737581535373,82.17054263565892,2017,"Amsterdam, Netherlands"
35,65.87144622991346,69.11070304302204,57.62669342699448,83.60501340288343,2018,"Amsterdam, Netherlands"
36,59.22126081582199,29.839979013641138,83.19116909182137,46.649279142215455,2014,"Ankara, Turkey"
37,73.53522867737948,65.58237145855195,74.86201705970898,48.19966673911468,2013,"Ankara, Turkey"
38,54.52410383189121,66.22507869884575,90.12167586552935,52.191552561037454,2017,"Ankara, Turkey"
39,53.794808405438815,65.83158447009444,87.68815855494229,52.04665652394407,2018,"Ankara, Turkey"
40,50.40791100123609,61.89664218258133,85.9257400903161,57.22668985003259,2016,"Ankara, Turkey"
41,56.37824474660073,62.00157397691501,92.02834922227797,53.55357530971528,2019,"Ankara, Turkey"
42,58.88751545117428,56.964847848898216,83.27897641746111,48.5039484170108,2015,"Ankara, Turkey"
43,64.14091470951793,75.41972717733474,68.26392373306572,61.74744620734622,2019,"Antwerp, Belgium"
44,44.79604449938195,39.40188877229801,76.78123432012042,56.53843367383902,2017,"Athens, Greece"
45,42.78121137206427,38.326337880377764,59.125689914701454,62.07346229080634,2014,"Athens, Greece"
46,46.22991347342397,41.146379853095496,72.97415955845459,59.957980149242914,2018,"Athens, Greece"
47,47.330037082818286,43.25813221406088,78.411941796287,59.957980149242914,2016,"Athens, Greece"
48,33.16440049443757,41.93336831059811,49.85574510787757,3.9846410200681106,2012,"Athens, Greece"
49,48.02224969097651,45.47481636935993,76.9631209232313,63.21089618198942,2019,"Athens, Greece"
50,36.42768850432632,34.61437565582372,55.9395383843452,53.40867927262189,2013,"Athens, Greece"
51,45.01854140914709,38.50996852046171,69.33015554440541,63.29058900239078,2015,"Athens, Greece"
52,28.368355995055623,67.5367261280168,66.05619668840943,65.4785191625009,2016,"Atlanta, GA, United States"
53,33.49814585908529,64.0083945435467,66.05619668840943,50.57596174744621,2015,"Atlanta, GA, United States"
54,27.156983930778736,58.63064008394545,66.51404917210236,69.37622256031297,2018,"Atlanta, GA, United States"
