,Safety Index,Health Care Index,Cost of Living Index,Pollution Index,Year,City
0,86.8355995055624,48.51783840503675,74.98118414450576,65.4567847569369,2016,"Abu Dhabi, United Arab Emirates"
1,88.31891223733004,50.68205666316896,72.16507777220271,65.92769687749039,2017,"Abu Dhabi, United Arab Emirates"
2,90.64276885043265,55.49580272822665,72.78600100351228,68.29674708396726,2018,"Abu Dhabi, United Arab Emirates"
3,93.93077873918415,64.29695697796433,74.24736578023081,70.98456857204955,2019,"Abu Dhabi, United Arab Emirates"
4,91.23609394313965,37.119622245540405,74.47315604616156,57.741070781714114,2015,"Abu Dhabi, United Arab Emirates"
5,65.14215080346105,69.18940188877231,59.583542398394364,90.09635586466709,2018,"Adelaide, Australia"
6,67.73794808405438,71.4585519412382,71.2180130456598,91.16134173730349,2019,"Adelaide, Australia"
7,57.552533992583434,61.490031479538295,64.68263923733065,86.53191335216982,2016,"Adelaide, Australia"
8,55.624227441285534,56.492654774396655,51.50526843953836,88.4880098529305,2015,"Adelaide, Australia"
9,56.41532756489492,47.914480587618065,37.6317109884596,96.25443744113599,2013,"Adelaide, Australia"
10,65.80964153275649,70.26495278069257,63.202458605117904,89.48779250887488,2017,"Adelaide, Australia"
11,56.00741656365885,54.2890870933893,48.85850476668338,86.5826269651525,2014,"Adelaide, Australia"
18,23.36217552533993,63.628016789087106,72.30933266432513,90.41512714627257,2018,"Albuquerque, NM, United States"
19,22.65760197775031,68.86149003147955,73.26894129453083,89.08208360501341,2019,"Albuquerque, NM, United States"
25,46.60074165636589,63.96904512067157,78.95760160561966,48.982105339418965,2016,"Amman, Jordan"
26,48.41779975278121,63.73294858342079,74.25363773206222,47.30855611099036,2015,"Amman, Jordan"
27,52.11372064276885,68.0351521511018,74.77420973406925,46.31601825690068,2017,"Amman, Jordan"
28,56.06922126081581,61.726128016789104,77.93527345709985,48.496703615156115,2019,"Amman, Jordan"
29,55.587144622991325,67.31374606505773,76.86276969392874,47.63457219445047,2018,"Amman, Jordan"
30,45.352286773794795,69.51731374606507,73.43828399397894,49.43128305440847,2014,"Amman, Jordan"
31,62.89245982694685,62.57869884575028,65.68615153035624,77.22234296891979,2016,"Amsterdam, Netherlands"
32,64.87021013597031,66.9202518363064,62.80732563973909,83.1196116786206,2019,"Amsterdam, Netherlands"
33,66.5265760197775,58.90608604407136,58.22252885097842,80.62739984061436,2015,"Amsterdam, Netherlands"
34,67.19406674907293,69.59601259181535,64.60737581535373,82.17054263565892,2017,"Amsterdam, Netherlands"
35,65.87144622991346,69.11070304302204,57.62669342699448,83.60501340288343,2018,"Amsterdam, Netherlands"
36,59.22126081582199,29.839979013641138,83.19116909182138,46.64927914221546,2014,"Ankara, Turkey"
37,73.53522867737948,65.58237145855195,74.86201705970899,48.199666739114676,2013,"Ankara, Turkey"
38,54.52410383189121,66.22507869884575,90.12167586552937,52.19155256103746,2017,"Ankara, Turkey"
39,53.79480840543882,65.83158447009443,87.6881585549423,52.04665652394407,2018,"Ankara, Turkey"
40,50.407911001236094,61.89664218258133,85.92574009031608,57.2266898500326,2016,"Ankara, Turkey"
41,56.37824474660072,62.001573976915004,92.02834922227795,53.55357530971528,2019,"Ankara, Turkey"
42,58.88751545117428,56.96484784889822,83.27897641746111,48.5039484170108,2015,"Ankara, Turkey"
43,64.14091470951793,75.41972717733474,68.26392373306572,61.74744620734622,2019,"Antwerp, Belgium"
44,44.79604449938195,39.40188877229801,76.78123432012042,56.53843367383902,2017,"Athens, Greece"
45,42.78121137206428,38.32633788037776,59.12568991470146,62.07346229080634,2014,"Athens, Greece"
46,46.22991347342397,41.146379853095496,72.97415955845459,59.95798014924291,2018,"Athens, Greece"
47,47.330037082818286,43.25813221406088,78.411941796287,59.95798014924291,2016,"Athens, Greece"
48,33.16440049443757,41.93336831059811,49.85574510787757,3.984641020068111,2012,"Athens, Greece"
49,48.02224969097651,45.474816369359935,76.9631209232313,63.21089618198942,2019,"Athens, Greece"
50,36.42768850432632,34.614375655823714,55.939538384345205,53.40867927262189,2013,"Athens, Greece"
51,45.01854140914709,38.50996852046171,69.3301555444054,63.29058900239079,2015,"Athens, Greece"
52,28.368355995055623,67.5367261280168,66.05619668840943,65.4785191625009,2016,"Atlanta, GA, United States"
53,33.49814585908529,64.0083945435467,66.05619668840943,50.575961747446215,2015,"Atlanta, GA, United States"
54,27.156983930778733,58.63064008394546,66.51404917210236,69.37622256031297,2018,"Atlanta, GA, United States"
55,27.37948084054388,60.21773347324239,65.81159056698444,65.8552488589437,2017,"Atlanta, GA, United States"
56,28.838071693448697,58.35519412381952,68.21374811841444,73.02760269506629,2019,"Atlanta, GA, United States"
57,51.10012360939432,65.58237145855195,60.91319618665328,84.71346808664785,2017,"Auckland, New Zealand"
58,50.18541409147096,68.94018887722983,53.17360762669343,86.96660146344999,2015,"Auckland, New Zealand"
59,50.63040791100122,72.38982161594964,65.25338685398896,84.67724407737448,2019,"Auckland, New Zealand"
60,54.239802224969104,72.25865687303255,63.120923231309575,83.25001811200464,2016,"Auckland, New Zealand"
61,50.346106304079115,69.56977964323191,59.01279478173606,84.97428095341594,2018,"Auckland, New Zealand"
62,46.46477132262051,68.74344176285415,46.080030105368785,84.38745200318772,2014,"Auckland, New Zealand"
63,45.21631644004943,68.37618048268625,41.65830406422478,80.21444613489821,2013,"Auckland, New Zealand"
64,64.56118665018539,67.99580272822665,67.07852483692925,79.0842570455698,2017,"Austin, TX, United States"
65,64.72187886279357,66.71038824763905,69.66884094330155,78.62783452872564,2019,"Austin, TX, United States"
