,Safety Index,Health Care Index,Cost of Living Index,Pollution Index,Year,City,Country,Continent
0,86.8355995055624,48.517838405036755,74.98118414450576,65.4567847569369,2016,"Abu Dhabi, United Arab Emirates",United Arab Emirates,Asia
1,88.31891223733005,50.682056663168964,72.16507777220271,65.92769687749039,2017,"Abu Dhabi, United Arab Emirates",United Arab Emirates,Asia
2,90.64276885043265,55.49580272822665,72.78600100351228,68.29674708396726,2018,"Abu Dhabi, United Arab Emirates",United Arab Emirates,Asia
3,93.93077873918415,64.29695697796433,74.24736578023081,70.98456857204955,2019,"Abu Dhabi, United Arab Emirates",United Arab Emirates,Asia
4,91.23609394313965,37.119622245540405,74.47315604616156,57.74107078171411,2015,"Abu Dhabi, United Arab Emirates",United Arab Emirates,Asia
5,65.14215080346105,69.18940188877231,59.583542398394364,90.09635586466707,2018,"Adelaide, Australia",Australia,Oceania
6,67.73794808405438,71.4585519412382,71.2180130456598,91.16134173730349,2019,"Adelaide, Australia",Australia,Oceania
7,57.552533992583434,61.490031479538295,64.68263923733065,86.53191335216982,2016,"Adelaide, Australia",Australia,Oceania
8,55.62422744128554,56.492654774396655,51.505268439538355,88.4880098529305,2015,"Adelaide, Australia",Australia,Oceania
9,56.41532756489492,47.91448058761807,37.6317109884596,96.25443744113599,2013,"Adelaide, Australia",Australia,Oceania
10,65.80964153275649,70.26495278069257,63.202458605117904,89.48779250887488,2017,"Adelaide, Australia",Australia,Oceania
11,56.00741656365885,54.2890870933893,48.85850476668338,86.5826269651525,2014,"Adelaide, Australia",Australia,Oceania
12,23.36217552533993,63.628016789087106,72.30933266432513,90.41512714627257,2018,"Albuquerque, NM, United States",United States,North America
13,22.65760197775031,68.86149003147955,73.26894129453083,89.08208360501341,2019,"Albuquerque, NM, United States",United States,North America
14,46.60074165636589,63.96904512067157,78.95760160561966,48.982105339418965,2016,"Amman, Jordan",Jordan,Asia
15,48.41779975278121,63.73294858342079,74.25363773206222,47.30855611099036,2015,"Amman, Jordan",Jordan,Asia
16,52.11372064276885,68.0351521511018,74.77420973406925,46.31601825690068,2017,"Amman, Jordan",Jordan,Asia
17,56.06922126081581,61.726128016789104,77.93527345709985,48.496703615156115,2019,"Amman, Jordan",Jordan,Asia
18,55.587144622991325,67.31374606505773,76.86276969392874,47.63457219445046,2018,"Amman, Jordan",Jordan,Asia
19,45.352286773794795,69.51731374606507,73.43828399397894,49.43128305440847,2014,"Amman, Jordan",Jordan,Asia
20,62.89245982694685,62.57869884575028,65.68615153035624,77.22234296891979,2016,"Amsterdam, Netherlands",Netherlands,Europe
21,64.87021013597031,66.9202518363064,62.80732563973909,83.1196116786206,2019,"Amsterdam, Netherlands",Netherlands,Europe
22,66.5265760197775,58.90608604407136,58.22252885097842,80.62739984061436,2015,"Amsterdam, Netherlands",Netherlands,Europe
23,67.19406674907293,69.59601259181535,64.60737581535373,82.17054263565892,2017,"Amsterdam, Netherlands",Netherlands,Europe
24,65.87144622991346,69.11070304302204,57.62669342699448,83.60501340288343,2018,"Amsterdam, Netherlands",Netherlands,Europe
25,59.22126081582199,29.839979013641138,83.19116909182138,46.64927914221546,2014,"Ankara, Turkey",Turkey,Asia
26,73.53522867737948,65.58237145855195,74.86201705970899,48.199666739114676,2013,"Ankara, Turkey",Turkey,Asia
27,54.52410383189121,66.22507869884575,90.12167586552937,52.19155256103746,2017,"Ankara, Turkey",Turkey,Asia
28,53.79480840543882,65.83158447009443,87.6881585549423,52.04665652394407,2018,"Ankara, Turkey",Turkey,Asia
29,50.40791100123611,61.89664218258133,85.92574009031608,57.226689850032606,2016,"Ankara, Turkey",Turkey,Asia
30,56.37824474660072,62.001573976915004,92.02834922227795,53.55357530971528,2019,"Ankara, Turkey",Turkey,Asia
31,58.88751545117428,56.96484784889822,83.27897641746111,48.5039484170108,2015,"Ankara, Turkey",Turkey,Asia
32,64.14091470951793,75.41972717733474,68.26392373306572,61.74744620734622,2019,"Antwerp, Belgium",Belgium,Europe
33,44.79604449938195,39.40188877229801,76.78123432012042,56.53843367383902,2017,"Athens, Greece",Greece,Europe
34,42.78121137206428,38.32633788037776,59.12568991470146,62.07346229080634,2014,"Athens, Greece",Greece,Europe
35,46.22991347342397,41.146379853095496,72.97415955845459,59.95798014924291,2018,"Athens, Greece",Greece,Europe
36,47.330037082818286,43.25813221406088,78.411941796287,59.95798014924291,2016,"Athens, Greece",Greece,Europe
37,33.16440049443757,41.93336831059811,49.85574510787757,3.9846410200681115,2012,"Athens, Greece",Greece,Europe
38,48.02224969097651,45.47481636935994,76.9631209232313,63.21089618198942,2019,"Athens, Greece",Greece,Europe
39,36.42768850432632,34.614375655823714,55.939538384345205,53.40867927262189,2013,"Athens, Greece",Greece,Europe
40,45.01854140914709,38.50996852046171,69.3301555444054,63.29058900239079,2015,"Athens, Greece",Greece,Europe
41,28.368355995055623,67.5367261280168,66.05619668840943,65.4785191625009,2016,"Atlanta, GA, United States",United States,North America
42,33.49814585908529,64.0083945435467,66.05619668840943,50.57596174744622,2015,"Atlanta, GA, United States",United States,North America
43,27.156983930778733,58.630640083945465,66.51404917210236,69.37622256031297,2018,"Atlanta, GA, United States",United States,North America
44,27.37948084054388,60.21773347324239,65.81159056698444,65.8552488589437,2017,"Atlanta, GA, United States",United States,North America
45,28.838071693448697,58.35519412381952,68.21374811841444,73.02760269506629,2019,"Atlanta, GA, United States",United States,North America
46,51.10012360939432,65.58237145855195,60.91319618665328,84.71346808664785,2017,"Auckland, New Zealand",New Zealand,Oceania
