Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Afghanistan,AFG,Real interest rate (%),FR.INR.RINR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.0468971030666,-3.58511111709381,12.5579601468892,17.5429289408708,11.3640937307248,-1.24150599400781,7.17438723794591,9.78449594139253,14.3516893410707,12.2525481562197,9.41677606606904,12.6426993073576,..
Albania,ALB,Real interest rate (%),FR.INR.RINR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.50195315724549,1.0003091547091,1.00058436930803,0.996284183664403,1.43757004192623,-25.4690910606448,-63.7871204812071,-42.5735139522975,-8.96318219295595,8.80174501441428,-10.2870097172254,19.2994542648082,..,19.1095559805435,15.5794478427779,15.2582927003853,11.2500481303419,8.62545399900411,8.34124933040263,9.45903065013955,10.2060979479912,9.30140093340637,8.5504253194332,9.99617573497678,7.9710133460457,9.88842419987006,9.73641849490194,9.51036538161158,6.99552609201727,8.12811542142597,10.389718691705,5.06044146055264,5.09897776689134
Algeria,DZA,Real interest rate (%),FR.INR.RINR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-18.1643639230936,-9.92881713172187,1.04003132597966,-3.56238299615486,-5.0109101734995,-1.87908824297368,0.824817065194007,-4.44866826540454,-4.64049034164609,-8.05499199440583,-17.0886435914453,-29.7737302569248,-11.421765206607,-4.95001376516111,-13.7470075987483,-7.90216593852001,-4.04920735969569,8.13664538103613,15.1040086053474,-0.0959106352048537,-10.3173873540501,10.029802271719,7.1777104077566,-0.188163873635254,-3.78265642912642,-6.99021793566235,-2.31863024273482,1.48157293745377,-6.37635945372894,21.6076442472412,-6.96209301567367,-8.66105453635389,0.482560424383822,8.06683300866002,8.31425373770566,15.5239190599796,6.39215302950725,3.41957443409703,-2.55570000095528
American Samoa,ASM,Real interest rate (%),FR.INR.RINR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Real interest rate (%),FR.INR.RINR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Real interest rate (%),FR.INR.RINR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-84.0950001791546,-93.5134588840176,-29.522706549011,4.04755887747496,-72.5785001611618,-60.7813270387995,-5.03293321688833,-33.5534024054014,1.1283355090728,36.6411290160782,17.799803581475,2.04299496946991,12.8373343636254,-5.72699956739726,38.975946691856,-6.94483626313024,-9.87641335430098,8.76474643212426,12.6107802361088,12.3805970272909,21.1441877007269,-4.92205300939889,-5.55269084354278,-10.506790378957
Antigua and Barbuda,ATG,Real interest rate (%),FR.INR.RINR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-0.0324775582283591,-5.43816599943154,-1.25565039042118,2.44330657718899,1.55231512124014,8.23490205936882,9.45880765244998,5.35829000452126,5.58772702086119,3.48121409654055,-1.07139078580872,7.7317894685575,10.8375621754672,9.78871955283657,9.99241544963923,10.6695655928552,9.59020182732675,10.0511649827273,9.01370812445565,9.9729650526347,9.87658228825984,10.4117093946692,10.4571716332387,9.99224446659657,10.6119748135098,13.9191415813414,10.1562584171881,6.63746408122423,10.4397021576976,6.45824729602573,5.79505158255318,8.13196020526217,9.42339479535483,9.59992790699111,7.49088035046345,11.540810529337,7.73424143251762,7.2276537310258,7.37097572270833,9.23485742620744,6.34088647446492
Argentina,ARG,Real interest rate (%),FR.INR.RINR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.01008579301131,14.2311110519169,10.5687442622144,9.75165232681387,12.5543666809332,13.1174683581839,9.94507167767402,29.1202848185975,16.179803860883,7.8288524592808,-9.78915778532334,-3.76573898962305,-4.49629725369551,-3.38254239370576,-3.00639086148202,0.240385057782125,-8.56602872006595,-7.77340523607893,-6.74819555440486,-5.48583918237899,-11.6006987702161,-1.31470878459507,-7.00603984304116,0.455012808101836,-2.12351343455601
Armenia,ARM,Real interest rate (%),FR.INR.RINR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-24.9130577416523,39.105168282964,30.9943493990781,34.1346115907617,38.7736674388853,33.3984630573373,21.7339742389409,18.3327469142319,15.5583254991901,11.5923305087159,14.2817319164796,11.3795280486194,12.7435114080609,10.4349146541902,15.8034515494499,10.6076357869827,12.9197578934331,11.2811932934792,12.2168430436348,13.7812486601176,16.1800096730379,17.0423595080455,11.997339956485,9.95284203008236
Aruba,ABW,Real interest rate (%),FR.INR.RINR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.46646469746693,6.93493938675523,6.25884359075901,4.52131422826697,4.79383512647761,6.55868225019245,5.0367090301006,4.04207442732824,6.99363007529187,6.86945665877678,6.31056630640479,4.19682644137802,10.7062608307036,10.9040922958099,6.59945496266279,6.47918083359896,8.42512014670551,7.27118298260453,7.41991409730749,6.36717242417586,4.20028415858288,5.16510250130054,8.82058976278222,11.0518811734569,5.7151135893734,7.5513274416442,10.9999799512655,5.42675436234961,4.85974943017455,8.47536879371014,5.57519877032694,..
